computador,modo,tamanho_vetor,threads,tempo_ms,resultado,speedup
Computador_8_CPU,sequencial,10000,1,0.134599,14210000.000000,1.000000
Computador_8_CPU,paralelo,10000,1,0.452201,14210000.000000,0.297653
Computador_8_CPU,paralelo,10000,2,0.354899,14210000.000000,0.379260
Computador_8_CPU,paralelo,10000,4,0.388900,14210000.000000,0.346102
Computador_8_CPU,paralelo,10000,8,0.634001,14210000.000000,0.212301
Computador_8_CPU,paralelo,10000,16,1.212201,14210000.000000,0.111037
Computador_8_CPU,sequencial,100000,1,0.134600,142100000.000000,1.000000
Computador_8_CPU,paralelo,100000,1,0.260601,142100000.000000,0.516498
Computador_8_CPU,paralelo,100000,2,0.272299,142100000.000000,0.494310
Computador_8_CPU,paralelo,100000,4,0.377200,142100000.000000,0.356840
Computador_8_CPU,paralelo,100000,8,0.708799,142100000.000000,0.189899
Computador_8_CPU,paralelo,100000,16,1.193300,142100000.000000,0.112796
Computador_8_CPU,sequencial,1000000,1,1.252600,1421000000.000000,1.000000
Computador_8_CPU,paralelo,1000000,1,1.685400,1421000000.000000,0.743206
Computador_8_CPU,paralelo,1000000,2,1.256000,1421000000.000000,0.997293
Computador_8_CPU,paralelo,1000000,4,0.922401,1421000000.000000,1.357978
Computador_8_CPU,paralelo,1000000,8,0.926300,1421000000.000000,1.352262
Computador_8_CPU,paralelo,1000000,16,1.323299,1421000000.000000,0.946574
Computador_8_CPU,sequencial,5000000,1,6.141300,7105000000.000000,1.000000
Computador_8_CPU,paralelo,5000000,1,7.001100,7105000000.000000,0.877191
Computador_8_CPU,paralelo,5000000,2,4.505600,7105000000.000000,1.363037
Computador_8_CPU,paralelo,5000000,4,3.474201,7105000000.000000,1.767687
Computador_8_CPU,paralelo,5000000,8,3.463500,7105000000.000000,1.773149
Computador_8_CPU,paralelo,5000000,16,3.681600,7105000000.000000,1.668106
Computador_8_CPU,sequencial,10000000,1,12.098501,14210000000.000000,1.000000
Computador_8_CPU,paralelo,10000000,1,12.541400,14210000000.000000,0.964685
Computador_8_CPU,paralelo,10000000,2,7.396200,14210000000.000000,1.635773
Computador_8_CPU,paralelo,10000000,4,6.621900,14210000000.000000,1.827044
Computador_8_CPU,paralelo,10000000,8,6.420800,14210000000.000000,1.884267
Computador_8_CPU,paralelo,10000000,16,6.609601,14210000000.000000,1.830443
